;;;;;;;;;Participante doador;;Participante tomador;
Código IF;Quantidade;Taxa % remuneração;Número do negócio;Mercado;Data de referência;Hora;Ação de atualização;Tipo sessão do pregão;Código;Nome doador;Código;Nome tomador
AZEV4;3;14,02%;107.331.671;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ONCO3;80;15,48%;107.331.640;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
POMO4;500;0,05%;107.331.665;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;5;14,02%;107.331.663;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ONCO3;17.129;15,48%;107.331.645;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;22;0,15%;107.331.646;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
HAPV3;300;0,23%;107.331.647;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;135;0,12%;107.331.664;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;1.928;14,02%;107.331.643;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;4.750;14,02%;107.331.641;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LAVV3;600;0,20%;107.331.661;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;17;14,02%;107.331.660;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AUAU3;1.694;0,25%;107.331.659;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PNVL3;100;0,05%;107.331.658;Balcão;30/06/2026;18:33:59;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ONCO3;1;15,48%;107.331.639;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
JHSF3;200;3,07%;107.331.655;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;475;14,02%;107.331.652;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;4;14,02%;107.331.657;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
PNVL3;300;0,05%;107.331.656;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;609;14,02%;107.331.654;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;100;0,12%;107.331.651;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
LREN3;68;0,12%;107.331.653;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ONCO3;370;15,48%;107.331.650;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;13;14,02%;107.331.649;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AZEV4;19;14,02%;107.331.644;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
EZTC3;500;0,03%;107.331.638;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AUAU3;306;0,25%;107.331.648;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;13;0,15%;107.331.642;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;19;0,15%;107.331.637;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;14;0,15%;107.331.636;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
AMOB3;13;0,15%;107.331.634;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
ASAI3;1.000;26,56%;107.331.635;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
MOVI3;500;0,10%;107.331.633;Balcão;30/06/2026;18:33:58;Novo (0);Regular (1);114;ITAU CV S/A;114;ITAU CV S/A
